Mouse #,Total__Femur BV (mm³),Diaphysis Cortical__Femur Cortical Volume (mm3),Diaphysis Cortical__Femur Marrow Volume (mm3),Diaphysis Cortical__Femur pMOI (mm4),Metaphysis Cancellous__Femur BV/TV (%),Metaphysis Cancellous__Femur Tb.Th (µm),Metaphysis Cancellous__Femur Tb.Sp (µm),Epiphysis Cancellous__Femur BV/TV (%),Epiphysis Cancellous__Femur Tb.Th (µm),Epiphysis Cancellous__Femur Tb.Sp (µm),material_type,Total__Humerus BV (mm³),Diaphysis Cortical__Humerus Cortical Volume (mm³),Diaphysis Cortical__Humerus Marrow Volume (mm³),Diaphysis Cortical__Humerus pMOI (mm⁴),Metaphysis Canc__Humerus BV/TV (%),Metaphysis Canc__Humerus Tb.Th (µm),Metaphysis Canc__Humerus Tb.Sp (µm),Epiphysis Canc__Humerus BV/TV (%),Epiphysis Canc__Humerus Tb.Th (µm),Epiphysis Canc__Humerus Tb.Sp (µm),N,Temperature,Treatment,Group #,Body Wt (g)
29.0,,,,,,,,,,,humerus,6.5127,0.0917,0.0895,0.06652,6.21,30.0,191.5,28.24,48.5,148.0,,22C (72F),Control,2.0,14.3
30.0,,,,,,,,,,,humerus,6.7633,0.0947,0.08829999999999999,0.06915,10.0,34.2,170.9,33.550000000000004,51.2,118.3,,22C (72F),Baseline,1.0,16.4
31.0,,,,,,,,,,,humerus,6.6204,0.0982,0.0909,0.07358,11.0,35.8,158.9,30.470000000000002,49.4,143.1,,22C (72F),Baseline,1.0,15.4
32.0,,,,,,,,,,,humerus,6.7401,0.0944,0.09630000000000001,0.07316,10.38,36.6,172.3,28.7,49.0,158.29999999999998,,22C (72F),Control,2.0,18.2
33.0,,,,,,,,,,,humerus,7.289,0.1011,0.09240000000000001,0.07854,12.33,36.5,163.39999999999998,32.09,52.0,153.29999999999998,,32C (90F),Control,4.0,17.7
34.0,,,,,,,,,,,humerus,6.6294,0.0994,0.07179999999999999,0.0654,11.49,35.5,148.7,,,,,22C (72F),Baseline,1.0,15.7
35.0,,,,,,,,,,,humerus,7.2235,0.1055,0.1029,0.08913,12.120000000000001,39.6,171.0,29.09,52.5,165.20000000000002,,32C (90F),HLU,5.0,16.6
36.0,,,,,,,,,,,humerus,7.0965,0.0998,0.09359999999999999,0.07734,11.65,36.5,162.5,27.88,50.9,176.1,,22C (72F),Control,2.0,16.0
37.0,,,,,,,,,,,humerus,6.8386,0.0991,0.0892,0.0749,13.69,37.900000000000006,152.10000000000002,32.2,53.400000000000006,155.6,,32C (90F),Control,4.0,17.2
38.0,,,,,,,,,,,humerus,6.2496,0.0993,0.1038,0.0817,6.65,35.2,185.5,20.39,44.900000000000006,179.4,,22C (72F),HLU,3.0,14.8
39.0,,,,,,,,,,,humerus,8.1103,0.117,0.0913,0.09446,14.719999999999999,38.3,138.1,35.23,57.1,141.1,10.0,22C (72F),Baseline,1.0,18.5
40.0,,,,,,,,,,,humerus,7.0753,0.0996,0.09770000000000001,0.07936,8.34,37.1,183.4,25.480000000000004,48.099999999999994,174.5,,22C (72F),HLU,3.0,16.6
41.0,,,,,,,,,,,humerus,6.5517,0.0916,0.0939,0.06882,9.32,38.9,194.3,21.84,45.199999999999996,183.2,,22C (72F),HLU,3.0,14.5
42.0,,,,,,,,,,,humerus,7.6634,0.1097,0.0967,0.09047,10.59,36.6,162.6,29.04,52.699999999999996,159.70000000000002,,22C (72F),Control,2.0,18.3
43.0,,,,,,,,,,,humerus,7.5974,0.1024,0.0911,0.07972,11.27,36.8,168.4,31.8,53.699999999999996,150.0,,22C (72F),Control,2.0,18.3
44.0,,,,,,,,,,,humerus,7.2703,0.1041,0.10470000000000002,0.08811,10.96,37.8,174.5,30.490000000000002,52.900000000000006,137.2,,32C (90F),HLU,5.0,17.4
45.0,,,,,,,,,,,humerus,6.5145,0.0966,0.08189999999999999,0.06748,14.35,38.1,161.6,30.470000000000002,52.900000000000006,157.4,,32C (90F),Control,4.0,16.3
46.0,,,,,,,,,,,humerus,6.6425,0.0984,0.10129999999999999,0.08043,9.1,34.4,184.0,31.25,48.9,130.8,10.0,22C (72F),Control,2.0,14.8
47.0,,,,,,,,,,,humerus,7.6328,0.1019,0.0982,0.08155,12.870000000000001,38.1,159.5,33.97,56.099999999999994,166.3,,32C (90F),Control,4.0,18.7
48.0,,,,,,,,,,,humerus,5.8658,0.0908,0.0999,0.07068,4.590000000000001,38.699999999999996,196.70000000000002,20.94,45.900000000000006,178.2,10.0,22C (72F),HLU,3.0,16.8
49.0,,,,,,,,,,,humerus,7.5095,0.1081,0.10880000000000001,0.09571,11.29,40.2,171.8,28.33,50.8,169.4,10.0,32C (90F),HLU,5.0,19.6
50.0,,,,,,,,,,,humerus,7.6945,0.1054,0.10400000000000001,0.08857,10.85,35.1,164.6,32.940000000000005,53.8,147.29999999999998,10.0,32C (90F),Control,4.0,17.6
